Endodermis,Epidermis,Exodermis,GeneralCortex,InnerCortex,MeristematicCortex,MeristematicZone,Phloem,QuiescentCenter,Vasculature,Xylem
,Solyc11g069500,Solyc11g010570,,,,,,,,
,Solyc11g069560,Solyc11g011050,,,,,,,,
,Solyc11g069860,Solyc11g011190,,,,,,,,
,Solyc11g069970,Solyc11g011440,,,,,,,,
,Solyc11g071710,Solyc11g011740,,,,,,,,
,Solyc11g072030,Solyc11g011750,,,,,,,,
,Solyc11g072040,Solyc11g012190,,,,,,,,
,Solyc11g072400,Solyc11g012200,,,,,,,,
,Solyc11g073010,Solyc11g012210,,,,,,,,
,Solyc11g073140,Solyc11g012360,,,,,,,,
,Solyc11g073150,Solyc11g012680,,,,,,,,
,Solyc12g005190,Solyc11g012700,,,,,,,,
,Solyc12g005370,Solyc11g012780,,,,,,,,
,Solyc12g005710,Solyc11g013810,,,,,,,,
,Solyc12g005720,Solyc11g013820,,,,,,,,
,Solyc12g005810,Solyc11g016930,,,,,,,,
,Solyc12g006430,Solyc11g017270,,,,,,,,
,Solyc12g006830,Solyc11g017390,,,,,,,,
,Solyc12g006840,Solyc11g017430,,,,,,,,
,Solyc12g006970,Solyc11g018530,,,,,,,,
,Solyc12g007250,Solyc11g018777,,,,,,,,
,Solyc12g007270,Solyc11g019910,,,,,,,,
,Solyc12g008650,Solyc11g030700,,,,,,,,
,Solyc12g009450,Solyc11g031950,,,,,,,,
,Solyc12g010470,Solyc11g040040,,,,,,,,
,Solyc12g011370,Solyc11g066080,,,,,,,,
,Solyc12g011430,Solyc11g066120,,,,,,,,
,Solyc12g013850,Solyc11g066270,,,,,,,,
,Solyc12g014000,Solyc11g066800,,,,,,,,
,Solyc12g014393,Solyc11g068680,,,,,,,,
,Solyc12g015920,Solyc11g069030,,,,,,,,
,Solyc12g017240,Solyc11g072110,,,,,,,,
,Solyc12g017400,Solyc11g072570,,,,,,,,
,Solyc12g017870,Solyc11g072890,,,,,,,,
,Solyc12g019120,Solyc12g005240,,,,,,,,
,Solyc12g019140,Solyc12g005400,,,,,,,,
,Solyc12g019440,Solyc12g005785,,,,,,,,
,Solyc12g019630,Solyc12g005790,,,,,,,,
,Solyc12g021360,Solyc12g005940,,,,,,,,
,Solyc12g036560,Solyc12g006110,,,,,,,,
,Solyc12g038420,Solyc12g006380,,,,,,,,
,Solyc12g038710,Solyc12g006630,,,,,,,,
,Solyc12g039080,Solyc12g007080,,,,,,,,
,Solyc12g040320,Solyc12g007205,,,,,,,,
,Solyc12g042840,Solyc12g007320,,,,,,,,
,Solyc12g042930,Solyc12g008350,,,,,,,,
,Solyc12g044710,Solyc12g008380,,,,,,,,
,Solyc12g049070,Solyc12g008740,,,,,,,,
,Solyc12g049080,Solyc12g008950,,,,,,,,
,Solyc12g049090,Solyc12g008960,,,,,,,,
,Solyc12g049140,Solyc12g009270,,,,,,,,
,Solyc12g049150,Solyc12g009520,,,,,,,,
,Solyc12g049160,Solyc12g009600,,,,,,,,
,Solyc12g049170,Solyc12g009650,,,,,,,,
,Solyc12g049180,Solyc12g009920,,,,,,,,
,Solyc12g049550,Solyc12g009925,,,,,,,,
,Solyc12g055920,Solyc12g010190,,,,,,,,
,Solyc12g055960,Solyc12g010680,,,,,,,,
,Solyc12g056050,Solyc12g010940,,,,,,,,
,Solyc12g056260,Solyc12g011030,,,,,,,,
,Solyc12g056420,Solyc12g013690,,,,,,,,
,Solyc12g056950,Solyc12g014140,,,,,,,,
,Solyc12g057020,Solyc12g014160,,,,,,,,
,Solyc12g077370,Solyc12g014310,,,,,,,,
,Solyc12g077465,Solyc12g014330,,,,,,,,
,Solyc12g087950,Solyc12g014500,,,,,,,,
,Solyc12g088000,Solyc12g015830,,,,,,,,
,Solyc12g088080,Solyc12g015970,,,,,,,,
,Solyc12g088260,Solyc12g019230,,,,,,,,
,Solyc12g088330,Solyc12g019980,,,,,,,,
,Solyc12g088390,Solyc12g033090,,,,,,,,
,Solyc12g088490,Solyc12g040480,,,,,,,,
,Solyc12g088800,Solyc12g040580,,,,,,,,
,Solyc12g089310,Solyc12g042470,,,,,,,,
,Solyc12g094460,Solyc12g042480,,,,,,,,
,Solyc12g094470,Solyc12g042830,,,,,,,,
,Solyc12g095980,Solyc12g049680,,,,,,,,
,Solyc12g096240,Solyc12g056200,,,,,,,,
,Solyc12g096600,Solyc12g056800,,,,,,,,
,Solyc12g096840,Solyc12g056935,,,,,,,,
,Solyc12g098220,Solyc12g057040,,,,,,,,
,Solyc12g098230,Solyc12g057070,,,,,,,,
,Solyc12g098240,Solyc12g057080,,,,,,,,
,Solyc12g098250,Solyc12g062690,,,,,,,,
,Solyc12g098290,Solyc12g087840,,,,,,,,
,Solyc12g098300,Solyc12g087940,,,,,,,,
,Solyc12g099345,Solyc12g088020,,,,,,,,
,Solyc12g099730,Solyc12g088050,,,,,,,,
,Solyc12g100080,Solyc12g088320,,,,,,,,
,Solyc12g100090,Solyc12g088360,,,,,,,,
,Solyc12g100100,Solyc12g088460,,,,,,,,
,Solyc12g100110,Solyc12g088970,,,,,,,,
,,Solyc12g089330,,,,,,,,
,,Solyc12g094530,,,,,,,,
,,Solyc12g094585,,,,,,,,
,,Solyc12g094630,,,,,,,,
,,Solyc12g096030,,,,,,,,
,,Solyc12g096620,,,,,,,,
,,Solyc12g096830,,,,,,,,
,,Solyc12g096920,,,,,,,,
,,Solyc12g097080,,,,,,,,
,,Solyc12g098890,,,,,,,,
,,Solyc12g099500,,,,,,,,
,,Solyc12g099930,,,,,,,,
,,Solyc12g100010,,,,,,,,
,,Solyc12g100250,,,,,,,,
,,Solyc12g100270,,,,,,,,
